id,Rings
90615,11.0
90616,11.0
90617,11.0
90618,11.0
90619,10.0
90620,11.0
90621,11.0
90622,10.0
90623,10.0
90624,11.0
90625,11.0
90626,10.0
90627,11.0
90628,11.0
90629,10.0
90630,10.0
90631,11.0
90632,10.0
90633,11.0
90634,11.0
90635,10.0
90636,10.0
90637,11.0
90638,11.0
90639,11.0
90640,11.0
90641,10.0
90642,11.0
90643,10.0
90644,11.0
90645,11.0
90646,11.0
90647,11.0
90648,11.0
90649,11.0
90650,11.0
90651,11.0
90652,10.0
90653,12.0
90654,10.0
90655,10.0
90656,11.0
90657,10.0
90658,10.0
90659,10.0
90660,10.0
90661,10.0
90662,10.0
90663,11.0
90664,10.0
90665,11.0
90666,11.0
90667,10.0
90668,11.0
90669,11.0
90670,10.0
90671,11.0
90672,11.0
90673,12.0
90674,10.0
90675,10.0
90676,11.0
90677,11.0
90678,10.0
90679,11.0
90680,10.0
90681,11.0
90682,11.0
90683,11.0
90684,11.0
90685,11.0
90686,10.0
90687,11.0
90688,11.0
90689,11.0
90690,12.0
90691,10.0
90692,11.0
90693,11.0
90694,11.0
90695,11.0
90696,11.0
90697,10.0
90698,11.0
90699,10.0
90700,11.0
90701,11.0
90702,11.0
90703,11.0
90704,10.0
90705,11.0
90706,11.0
90707,10.0
90708,10.0
90709,11.0
90710,11.0
90711,11.0
90712,11.0
90713,12.0
90714,10.0
90715,10.0
90716,10.0
90717,11.0
90718,10.0
90719,10.0
90720,11.0
90721,11.0
90722,11.0
90723,10.0
90724,11.0
90725,10.0
90726,10.0
90727,10.0
90728,11.0
90729,11.0
90730,11.0
90731,10.0
90732,10.0
90733,11.0
90734,11.0
90735,10.0
90736,10.0
90737,10.0
90738,10.0
90739,12.0
90740,11.0
90741,10.0
90742,11.0
90743,11.0
90744,10.0
90745,10.0
90746,10.0
90747,10.0
90748,11.0
90749,11.0
90750,10.0
90751,10.0
90752,10.0
90753,10.0
90754,10.0
90755,10.0
90756,11.0
90757,11.0
90758,11.0
90759,10.0
90760,10.0
90761,11.0
90762,11.0
90763,10.0
90764,11.0
90765,11.0
90766,10.0
90767,12.0
90768,11.0
90769,10.0
90770,11.0
90771,11.0
90772,10.0
90773,10.0
90774,10.0
90775,11.0
90776,10.0
90777,11.0
90778,11.0
90779,11.0
90780,11.0
90781,11.0
90782,10.0
90783,11.0
90784,10.0
90785,10.0
90786,10.0
90787,11.0
90788,10.0
90789,11.0
90790,11.0
90791,10.0
90792,10.0
90793,10.0
90794,10.0
90795,11.0
90796,11.0
90797,11.0
90798,11.0
90799,10.0
90800,12.0
90801,11.0
90802,10.0
90803,11.0
90804,12.0
90805,11.0
90806,10.0
90807,11.0
90808,11.0
90809,11.0
90810,11.0
90811,11.0
90812,10.0
90813,11.0
90814,10.0
90815,10.0
90816,10.0
90817,11.0
90818,11.0
90819,10.0
90820,10.0
90821,11.0
90822,10.0
90823,10.0
90824,11.0
90825,10.0
90826,10.0
90827,10.0
90828,11.0
90829,11.0
90830,11.0
90831,10.0
90832,11.0
90833,11.0
90834,11.0
90835,11.0
90836,10.0
90837,10.0
90838,11.0
90839,10.0
90840,11.0
90841,11.0
90842,11.0
90843,11.0
90844,11.0
90845,11.0
90846,11.0
90847,10.0
90848,11.0
90849,11.0
90850,10.0
90851,12.0
90852,10.0
90853,11.0
90854,11.0
90855,10.0
90856,11.0
90857,11.0
90858,11.0
90859,11.0
90860,11.0
90861,11.0
90862,11.0
90863,10.0
90864,10.0
90865,11.0
90866,11.0
90867,11.0
90868,11.0
90869,10.0
90870,11.0
90871,11.0
90872,11.0
90873,10.0
90874,11.0
90875,10.0
90876,11.0
90877,10.0
90878,10.0
90879,11.0
90880,10.0
90881,11.0
90882,11.0
90883,11.0
90884,12.0
90885,11.0
90886,11.0
90887,10.0
90888,11.0
90889,11.0
90890,11.0
90891,11.0
90892,11.0
90893,10.0
90894,11.0
90895,11.0
90896,10.0
90897,10.0
90898,10.0
90899,11.0
90900,11.0
90901,11.0
90902,10.0
90903,10.0
90904,10.0
90905,10.0
90906,10.0
90907,11.0
90908,10.0
90909,11.0
90910,11.0
90911,10.0
90912,11.0
90913,10.0
90914,11.0
90915,10.0
90916,10.0
90917,11.0
90918,10.0
90919,10.0
90920,11.0
90921,10.0
90922,10.0
90923,11.0
90924,10.0
90925,11.0
90926,11.0
90927,11.0
90928,11.0
90929,11.0
90930,11.0
90931,11.0
90932,11.0
90933,11.0
90934,11.0
90935,11.0
90936,11.0
90937,11.0
90938,11.0
90939,11.0
90940,10.0
90941,10.0
90942,10.0
90943,11.0
90944,10.0
90945,11.0
90946,11.0
90947,11.0
90948,11.0
90949,11.0
90950,11.0
90951,11.0
90952,10.0
90953,10.0
90954,11.0
90955,10.0
90956,10.0
90957,11.0
90958,10.0
90959,10.0
90960,10.0
90961,10.0
90962,11.0
90963,10.0
90964,11.0
90965,10.0
90966,11.0
90967,10.0
90968,11.0
90969,11.0
90970,11.0
90971,10.0
90972,10.0
90973,11.0
90974,10.0
90975,11.0
90976,10.0
90977,10.0
90978,10.0
90979,11.0
90980,11.0
90981,11.0
90982,11.0
90983,10.0
90984,11.0
90985,10.0
90986,11.0
90987,11.0
90988,10.0
90989,11.0
90990,11.0
90991,10.0
90992,10.0
90993,11.0
90994,11.0
90995,10.0
90996,11.0
90997,11.0
90998,10.0
90999,10.0
91000,11.0
91001,10.0
91002,10.0
91003,11.0
91004,11.0
91005,10.0
91006,11.0
91007,10.0
91008,10.0
91009,11.0
91010,11.0
91011,10.0
91012,10.0
91013,11.0
91014,11.0
91015,11.0
91016,10.0
91017,11.0
91018,10.0
91019,11.0
91020,10.0
91021,11.0
91022,10.0
91023,10.0
91024,10.0
91025,11.0
91026,11.0
91027,10.0
91028,11.0
91029,11.0
91030,10.0
91031,10.0
91032,10.0
91033,10.0
91034,11.0
91035,10.0
91036,11.0
91037,10.0
91038,11.0
91039,11.0
91040,10.0
91041,10.0
91042,11.0
91043,11.0
91044,10.0
91045,10.0
91046,10.0
91047,10.0
91048,11.0
91049,11.0
91050,11.0
91051,10.0
91052,11.0
91053,11.0
91054,10.0
91055,10.0
91056,11.0
91057,11.0
91058,12.0
91059,11.0
91060,11.0
91061,10.0
91062,12.0
91063,10.0
91064,11.0
91065,11.0
91066,11.0
91067,11.0
91068,11.0
91069,11.0
91070,10.0
91071,10.0
91072,10.0
91073,10.0
91074,11.0
91075,10.0
91076,12.0
91077,10.0
91078,10.0
91079,10.0
91080,11.0
91081,10.0
91082,11.0
91083,10.0
91084,10.0
91085,11.0
91086,11.0
91087,11.0
91088,11.0
91089,11.0
91090,11.0
91091,10.0
91092,11.0
91093,10.0
91094,10.0
91095,11.0
91096,11.0
91097,12.0
91098,10.0
91099,10.0
91100,11.0
91101,11.0
91102,10.0
91103,10.0
91104,11.0
91105,11.0
91106,11.0
91107,10.0
91108,11.0
91109,11.0
91110,12.0
91111,10.0
91112,10.0
91113,11.0
91114,10.0
91115,11.0
91116,10.0
91117,10.0
91118,10.0
91119,10.0
91120,11.0
91121,11.0
91122,10.0
91123,11.0
91124,11.0
91125,10.0
91126,10.0
91127,10.0
91128,10.0
91129,10.0
91130,10.0
91131,10.0
91132,11.0
91133,11.0
91134,11.0
91135,10.0
91136,11.0
91137,11.0
91138,10.0
91139,11.0
91140,11.0
91141,11.0
91142,11.0
91143,10.0
91144,11.0
91145,11.0
91146,10.0
91147,11.0
91148,12.0
91149,10.0
91150,11.0
91151,11.0
91152,11.0
91153,11.0
91154,10.0
91155,11.0
91156,10.0
91157,11.0
91158,10.0
91159,10.0
91160,10.0
91161,11.0
91162,11.0
91163,10.0
91164,11.0
91165,11.0
91166,10.0
91167,11.0
91168,11.0
91169,11.0
91170,10.0
91171,11.0
91172,11.0
91173,11.0
91174,10.0
91175,11.0
91176,10.0
91177,11.0
91178,10.0
91179,11.0
91180,11.0
91181,11.0
91182,11.0
91183,10.0
91184,10.0
91185,11.0
